l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
67,217,99,1,4.0,4468.84,0.09,0.04,N,O,1997-04-17,1997-01-31,1997-04-20,NONE,SHIP, above the blithely f,1997
102,890,57,1,37.0,66262.93,0.06,0.0,N,O,1997-07-24,1997-08-02,1997-08-07,TAKE BACK RETURN,SHIP,e slyly regular foxes are alongside ,1997
102,1693,17,2,34.0,54219.46,0.03,0.08,N,O,1997-08-09,1997-07-28,1997-08-26,TAKE BACK RETURN,SHIP,s nag. furiously expr,1997
102,612,6,4,15.0,22689.15,0.07,0.07,N,O,1997-06-02,1997-07-13,1997-06-04,DELIVER IN PERSON,SHIP,s believe. packages doubt carefully,1997
289,1118,27,2,6.0,6114.66,0.06,0.05,N,O,1997-02-18,1997-05-08,1997-03-19,DELIVER IN PERSON,SHIP,ven requests! final deposits alon,1997
387,1367,44,1,1.0,1268.36,0.08,0.03,N,O,1997-05-06,1997-04-23,1997-05-10,NONE,SHIP, express requests. ironically fina,1997
422,1519,60,1,25.0,35512.75,0.1,0.07,N,O,1997-07-01,1997-08-17,1997-07-09,DELIVER IN PERSON,SHIP,"ound the silent, even pa",1997
453,132,85,3,38.0,39220.94,0.1,0.01,N,O,1997-08-10,1997-07-24,1997-09-07,NONE,SHIP, of the pinto beans boos,1997
455,484,43,3,45.0,62301.6,0.04,0.06,N,O,1996-12-20,1997-01-31,1997-01-07,TAKE BACK RETURN,SHIP,xcuses haggle? furiously even gifts acr,1997
484,1649,50,4,22.0,34114.08,0.07,0.03,N,O,1997-04-29,1997-03-26,1997-05-17,TAKE BACK RETURN,SHIP,thely regular requests. requests according,1997
517,410,40,3,9.0,11793.69,0.04,0.0,N,O,1997-05-03,1997-06-16,1997-05-24,COLLECT COD,SHIP,haggle carefully carefully ironic instru,1997
578,1556,57,1,40.0,58302.0,0.02,0.08,N,O,1997-02-10,1997-03-18,1997-02-11,NONE,SHIP,", pending deposi",1997
582,1404,83,3,42.0,54826.8,0.07,0.0,N,O,1997-11-15,1997-12-21,1997-12-03,COLLECT COD,SHIP," packages. even, even reque",1997
582,1678,79,4,36.0,56868.12,0.06,0.01,N,O,1997-12-09,1997-11-27,1997-12-26,TAKE BACK RETURN,SHIP,sly regular packages. ,1997
705,1884,28,1,46.0,82150.48,0.05,0.06,N,O,1997-04-18,1997-05-06,1997-05-05,DELIVER IN PERSON,SHIP,g to the carefully silent,1997
803,535,96,1,8.0,11484.24,0.07,0.01,N,O,1997-08-04,1997-06-19,1997-08-12,NONE,SHIP,er the final,1997
997,475,76,2,17.0,23382.99,0.03,0.0,N,O,1997-07-28,1997-07-26,1997-08-20,DELIVER IN PERSON,SHIP,e furiously above the c,1997
1026,373,58,1,36.0,45841.32,0.1,0.02,N,O,1997-06-14,1997-07-20,1997-06-23,NONE,SHIP,ly. regula,1997
