l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
67,1736,79,3,5.00,8188.65,0.03,0.07,N,O,1997-02-20,1997-02-12,1997-02-21,DELIVER IN PERSON,. slyly final asymptotes maintai
163,1208,9,2,13.00,14419.60,0.01,0.04,N,O,1997-11-11,1997-10-18,1997-12-07,DELIVER IN PERSON,orbits could have to are blithely
163,1927,72,4,5.00,9144.60,0.02,0.00,N,O,1997-11-17,1997-10-09,1997-12-05,DELIVER IN PERSON,s use furio
163,1261,99,5,12.00,13947.12,0.10,0.00,N,O,1997-12-18,1997-10-26,1997-12-22,COLLECT COD,s wake theodolites. deposi
288,1164,1,2,49.00,52192.84,0.08,0.05,N,O,1997-04-19,1997-05-19,1997-05-18,TAKE BACK RETURN,"the packages: regular, regu"
288,989,90,3,36.00,68039.28,0.02,0.02,N,O,1997-02-22,1997-05-07,1997-03-07,TAKE BACK RETURN,s nag slyly even
387,964,33,3,40.00,74598.40,0.09,0.02,N,O,1997-03-08,1997-04-18,1997-03-31,COLLECT COD,asymptotes around the forges sleep blithel
387,1484,24,5,32.00,44335.36,0.08,0.06,N,O,1997-05-02,1997-04-11,1997-05-11,DELIVER IN PERSON,unusual deposit
455,273,74,2,44.00,51623.88,0.05,0.08,N,O,1997-01-17,1997-02-22,1997-02-12,TAKE BACK RETURN,ray furiously. carefully even foxes bo
484,302,59,1,49.00,58912.70,0.10,0.02,N,O,1997-03-06,1997-02-28,1997-03-23,COLLECT COD,cial request
484,320,5,2,45.00,54914.40,0.06,0.07,N,O,1997-04-09,1997-03-20,1997-04-19,DELIVER IN PERSON,eposits integrate at the furiously un
485,280,35,2,40.00,47211.20,0.08,0.01,N,O,1997-04-29,1997-05-08,1997-04-30,TAKE BACK RETURN,ges haggle s
485,1369,84,3,22.00,27947.92,0.00,0.05,N,O,1997-04-06,1997-04-27,1997-05-01,DELIVER IN PERSON,"blithely regular requests. bold, even d"
517,1554,95,2,15.00,21833.25,0.02,0.00,N,O,1997-04-09,1997-06-26,1997-05-01,NONE,y. carefully ironic foxes s
546,846,46,1,16.00,27949.44,0.08,0.02,N,O,1997-02-04,1996-12-30,1997-02-25,DELIVER IN PERSON,ding foxes! platelets haggle furio
576,331,88,2,6.00,7387.98,0.06,0.05,N,O,1997-05-15,1997-07-26,1997-06-03,DELIVER IN PERSON,encies. carefully even accounts are
581,750,15,4,30.00,49522.50,0.10,0.08,N,O,1997-06-19,1997-05-21,1997-06-22,TAKE BACK RETURN,ecial instructions; caref
583,1444,45,1,1.00,1345.44,0.07,0.07,N,O,1997-06-17,1997-04-29,1997-06-28,NONE,ing accounts. carefully special de
583,1886,16,5,13.00,23242.44,0.04,0.06,N,O,1997-06-23,1997-05-29,1997-07-08,COLLECT COD,equests along the slyly
675,993,96,4,15.00,28409.85,0.09,0.05,N,O,1997-10-18,1997-09-28,1997-11-13,COLLECT COD,tions. pending tithes
676,729,26,4,24.00,39113.28,0.01,0.06,N,O,1997-02-05,1997-01-16,1997-03-07,TAKE BACK RETURN,e accounts haggle
676,1652,76,5,31.00,48163.15,0.01,0.06,N,O,1997-02-06,1997-02-28,1997-03-08,COLLECT COD,ully boldly final
676,760,61,6,33.00,54805.08,0.09,0.05,N,O,1997-03-02,1997-02-22,1997-03-19,TAKE BACK RETURN,theodolites. carefully regular depos
869,623,55,1,27.00,41137.74,0.07,0.07,N,O,1997-01-30,1997-02-17,1997-02-26,TAKE BACK RETURN,sly ironic pinto beans. ironic ideas cajo
992,473,3,4,21.00,28842.87,0.06,0.06,N,O,1997-11-13,1997-12-28,1997-12-10,NONE,ronic requests haggle slyly b
992,911,46,5,7.00,12683.37,0.09,0.05,N,O,1997-11-30,1997-12-24,1997-12-16,DELIVER IN PERSON,refully special platelets haggl
997,1627,28,1,11.00,16814.82,0.00,0.02,N,O,1997-06-16,1997-07-21,1997-07-14,DELIVER IN PERSON,onic foxes. slyly silent a
1026,369,26,2,6.00,7616.16,0.10,0.08,N,O,1997-07-07,1997-08-16,1997-07-14,TAKE BACK RETURN,"arefully even foxes wake express, regula"
1062,1361,62,1,38.00,47969.68,0.00,0.01,N,O,1997-01-27,1997-03-07,1997-02-16,DELIVER IN PERSON,ccounts haggle ca
1121,1995,96,6,50.00,94849.50,0.06,0.03,N,O,1997-04-21,1997-02-16,1997-04-25,NONE,y final deposits across the i
1122,3,54,7,38.00,34314.00,0.00,0.08,N,O,1997-01-23,1997-04-02,1997-02-16,NONE,its sleep slyly. quickly ruthless
1156,112,91,3,29.00,29351.19,0.09,0.06,N,O,1997-01-24,1996-12-26,1997-02-04,DELIVER IN PERSON,"d, even pint"
1410,1082,53,3,37.00,36373.96,0.02,0.01,N,O,1997-04-17,1997-06-18,1997-04-19,COLLECT COD,gular pack
1473,535,96,1,50.00,71776.50,0.04,0.03,N,O,1997-05-05,1997-05-20,1997-05-09,NONE,he dependencies! pending accounts about the
1477,1191,28,7,33.00,36042.27,0.06,0.00,N,O,1997-11-12,1997-11-06,1997-11-24,DELIVER IN PERSON,ges cajole bl
1574,541,72,3,25.00,36038.50,0.06,0.02,N,O,1997-01-16,1997-02-14,1997-02-12,DELIVER IN PERSON,ial theodolites int
1606,1736,21,2,35.00,57320.55,0.00,0.02,N,O,1997-06-20,1997-06-19,1997-06-22,COLLECT COD,deas cajole f
1606,963,98,4,20.00,37279.20,0.02,0.04,N,O,1997-05-01,1997-05-26,1997-05-28,TAKE BACK RETURN,re. even pa
1636,841,41,1,2.00,3483.68,0.09,0.03,N,O,1997-09-26,1997-08-22,1997-10-05,NONE,"regular, final requests. express reques"
1636,630,62,6,34.00,52041.42,0.10,0.01,N,O,1997-08-11,1997-09-09,1997-08-23,NONE,olites. fu
1668,10,86,2,25.00,22750.25,0.01,0.06,N,O,1997-08-08,1997-09-28,1997-09-01,NONE,uctions sleep ironic deposits; careful
1668,100,26,6,38.00,38003.80,0.07,0.01,N,O,1997-08-26,1997-09-17,1997-09-05,DELIVER IN PERSON,es are slyly among the f
1670,315,72,1,41.00,49827.71,0.07,0.01,N,O,1997-07-19,1997-08-20,1997-07-23,DELIVER IN PERSON,"sleep express, special pi"
