l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
192,971,40,1,23.00,43055.31,0.00,0.00,N,O,1998-02-05,1998-02-06,1998-03-07,TAKE BACK RETURN,mold furiously after the ironic instructio
390,850,50,7,24.00,42020.40,0.05,0.02,N,O,1998-04-18,1998-05-19,1998-04-28,TAKE BACK RETURN,accounts cajole against
451,1296,71,1,36.00,43102.44,0.02,0.06,N,O,1998-06-18,1998-08-14,1998-06-20,TAKE BACK RETURN,nic foxes. furiously regular foxes wake b
451,862,63,3,1.00,1762.86,0.07,0.05,N,O,1998-07-13,1998-07-03,1998-08-04,DELIVER IN PERSON,ly above the slyly regular theodolites. sly
518,1332,9,3,12.00,14799.96,0.01,0.06,N,O,1998-03-08,1998-03-31,1998-04-06,NONE,refully sly requests:
519,1059,30,3,19.00,18240.95,0.00,0.02,N,O,1998-01-09,1998-01-03,1998-02-06,COLLECT COD,about the al
736,1574,75,1,46.00,67876.22,0.05,0.01,N,O,1998-07-16,1998-09-01,1998-08-09,NONE,"affix. final,"
736,795,96,2,23.00,39003.17,0.02,0.05,N,O,1998-10-08,1998-08-27,1998-10-19,TAKE BACK RETURN,packages. carefully exp
741,904,73,2,22.00,39707.80,0.09,0.01,N,O,1998-09-07,1998-09-28,1998-09-12,COLLECT COD,olve carefully furiously bold realms.
770,533,64,2,25.00,35838.25,0.03,0.02,N,O,1998-05-26,1998-07-23,1998-06-04,TAKE BACK RETURN,r the blithely special deposits. carefu
838,948,83,3,23.00,42525.62,0.10,0.07,N,O,1998-03-26,1998-04-17,1998-04-02,COLLECT COD,": final, bold requests sleep. regular as"
838,432,33,4,18.00,23983.74,0.09,0.00,N,O,1998-03-28,1998-04-06,1998-03-31,TAKE BACK RETURN,yly across the bold accou
899,601,33,1,18.00,27028.80,0.04,0.05,N,O,1998-08-06,1998-05-09,1998-09-05,DELIVER IN PERSON,nic requests. blithely special ac
901,453,54,2,2.00,2706.90,0.09,0.02,N,O,1998-10-25,1998-09-27,1998-11-01,DELIVER IN PERSON,ly express multip
901,427,57,3,37.00,49114.54,0.04,0.08,N,O,1998-11-01,1998-09-13,1998-11-05,NONE,eat slyly pending th
1061,1102,75,3,26.00,26080.60,0.08,0.02,N,O,1998-06-18,1998-07-25,1998-06-24,TAKE BACK RETURN,to beans. f
1061,1301,2,5,50.00,60115.00,0.04,0.08,N,O,1998-05-25,1998-07-22,1998-06-22,COLLECT COD,"al foxes doze after the final,"
1090,216,17,1,5.00,5581.05,0.02,0.05,N,O,1998-02-19,1997-12-25,1998-02-24,DELIVER IN PERSON,gular platel
1094,1145,46,1,9.00,9415.26,0.07,0.06,N,O,1997-12-28,1998-03-16,1998-01-18,DELIVER IN PERSON,cross the bl
1124,923,58,3,35.00,63837.20,0.10,0.05,N,O,1998-11-25,1998-10-08,1998-12-25,TAKE BACK RETURN,unusual ideas cajole. slyly iron
1315,158,37,2,15.00,15872.25,0.05,0.01,N,O,1998-07-12,1998-06-10,1998-08-07,COLLECT COD,wake furiously carefully ironic req
1318,1137,46,1,24.00,24915.12,0.08,0.06,N,O,1998-09-27,1998-09-15,1998-10-12,TAKE BACK RETURN,s nag. unusual dependencies use fu
1318,1284,22,3,31.00,36743.68,0.01,0.04,N,O,1998-08-25,1998-07-31,1998-08-31,COLLECT COD,ly pending foxes are
1348,1983,84,3,40.00,75399.20,0.07,0.05,N,O,1998-08-14,1998-07-10,1998-08-27,COLLECT COD,ing requests.
1377,323,52,5,19.00,23243.08,0.10,0.00,N,O,1998-06-20,1998-06-27,1998-07-20,NONE,nto beans haggle slyly
1379,729,62,1,13.00,21186.36,0.04,0.01,N,O,1998-06-08,1998-07-13,1998-06-16,NONE,c decoys use deposits. platele
1381,1431,71,1,47.00,62624.21,0.08,0.04,N,O,1998-09-22,1998-08-12,1998-10-12,DELIVER IN PERSON,ts wake boldly abo
1381,332,61,2,12.00,14787.96,0.07,0.08,N,O,1998-08-13,1998-08-12,1998-08-28,TAKE BACK RETURN,tions eat furiously slyly
1408,1724,9,2,7.00,11380.04,0.05,0.06,N,O,1998-01-14,1998-03-21,1998-01-29,COLLECT COD,"ven, express pinto beans haggle blithely"
1475,1173,74,2,18.00,19335.06,0.07,0.00,N,O,1998-03-08,1998-01-18,1998-03-10,TAKE BACK RETURN,haggle furiously. enticingly ironic deposit
1508,1472,90,4,1.00,1373.47,0.02,0.02,N,O,1998-07-13,1998-06-03,1998-07-17,TAKE BACK RETURN,"final, unusual requests. ironic"
1605,1419,37,1,47.00,62059.27,0.00,0.01,N,O,1998-04-29,1998-06-12,1998-05-20,DELIVER IN PERSON,y regular the
1605,1826,56,4,25.00,43195.50,0.06,0.02,N,O,1998-05-26,1998-06-14,1998-06-05,COLLECT COD,dolites wake slyl
1730,1614,15,2,15.00,22734.15,0.07,0.04,N,O,1998-09-07,1998-09-12,1998-09-30,TAKE BACK RETURN,beside the even deposits. blithe
1920,954,55,1,24.00,44518.80,0.04,0.05,N,O,1998-09-27,1998-08-23,1998-10-15,DELIVER IN PERSON,rint packages. ca
1920,338,23,5,14.00,17336.62,0.08,0.05,N,O,1998-10-22,1998-08-10,1998-10-27,DELIVER IN PERSON,tions nag care
1984,521,12,1,45.00,63968.40,0.03,0.04,N,O,1998-04-09,1998-06-11,1998-05-01,COLLECT COD,rding to the slyly final i
2087,1673,97,2,46.00,72434.82,0.10,0.03,N,O,1998-02-24,1998-04-02,1998-03-04,DELIVER IN PERSON,packages across
2115,1952,97,1,27.00,50056.65,0.06,0.03,N,O,1998-09-01,1998-07-29,1998-09-04,NONE,"ular excuses. ironic, regular acco"
2371,342,71,2,21.00,26089.14,0.00,0.05,N,O,1998-04-14,1998-02-14,1998-04-18,COLLECT COD,. blithely final d
2371,421,80,4,33.00,43606.86,0.05,0.08,N,O,1998-03-30,1998-02-06,1998-04-05,DELIVER IN PERSON,should have to sle
2561,971,40,2,5.00,9359.85,0.07,0.04,N,O,1997-12-27,1998-01-23,1998-01-13,TAKE BACK RETURN,"y quick accounts. bold, regula"
2565,1437,38,1,42.00,56214.06,0.04,0.08,N,O,1998-04-07,1998-04-02,1998-05-04,NONE,tions-- even
2565,755,56,5,26.00,43049.50,0.08,0.03,N,O,1998-03-05,1998-04-11,1998-03-11,TAKE BACK RETURN,o beans among the even
2567,804,4,5,46.00,78420.80,0.07,0.02,N,O,1998-06-02,1998-04-30,1998-06-13,COLLECT COD,late blithely. carefully express reque
2629,1231,43,2,31.00,35099.13,0.08,0.03,N,O,1998-05-24,1998-05-26,1998-06-10,COLLECT COD,final packages. ironic requests sleep de
2629,1275,76,3,29.00,34111.83,0.08,0.07,N,O,1998-07-09,1998-06-17,1998-07-12,TAKE BACK RETURN,liers! final pinto beans alongsi
2758,1209,84,1,20.00,22204.00,0.02,0.04,N,O,1998-07-27,1998-09-10,1998-08-21,TAKE BACK RETURN,uriously express accou
2784,324,81,1,45.00,55094.40,0.03,0.01,N,O,1998-02-15,1998-04-07,1998-02-26,COLLECT COD,deposits wake about the courts?
2784,536,37,2,23.00,33040.19,0.03,0.05,N,O,1998-03-28,1998-02-07,1998-04-17,DELIVER IN PERSON,"the special, spe"
2784,281,82,4,3.00,3543.84,0.04,0.03,N,O,1998-01-19,1998-04-05,1998-02-05,TAKE BACK RETURN,along the blithely final packages sl
2789,1323,100,7,42.00,51421.44,0.01,0.00,N,O,1998-04-28,1998-05-17,1998-05-24,TAKE BACK RETURN,s alongside of the en
2944,1199,100,1,44.00,48408.36,0.08,0.05,N,O,1997-12-25,1997-10-28,1998-01-21,COLLECT COD,beans. quickly careful
3170,884,51,3,27.00,48191.76,0.00,0.05,N,O,1998-02-25,1998-01-29,1998-02-27,COLLECT COD,uests. furiously even dependen
3523,1332,33,5,48.00,59199.84,0.00,0.01,N,O,1998-07-22,1998-06-25,1998-08-19,DELIVER IN PERSON,deposits cajole a
3618,621,53,3,24.00,36518.88,0.01,0.04,N,O,1998-01-26,1998-01-15,1998-02-17,TAKE BACK RETURN,requests.
3618,1605,6,4,26.00,39171.60,0.01,0.05,N,O,1998-03-23,1998-01-24,1998-04-15,DELIVER IN PERSON,accounts. carefully regular accounts a
3686,1992,37,2,38.00,71971.62,0.06,0.03,N,O,1998-09-04,1998-08-11,1998-09-19,DELIVER IN PERSON,ers boost furiously at the regular pack
3713,1770,13,2,19.00,31763.63,0.04,0.04,N,O,1998-06-25,1998-07-24,1998-07-08,DELIVER IN PERSON,ly against the special pinto beans. slyl
3714,1589,90,3,16.00,23849.28,0.00,0.02,N,O,1998-05-25,1998-07-07,1998-06-17,TAKE BACK RETURN,es haggle furious
3714,293,48,4,44.00,52504.76,0.04,0.02,N,O,1998-07-18,1998-07-10,1998-07-22,DELIVER IN PERSON,lyly stealthy foxes maintain dol
3717,684,47,4,5.00,7923.40,0.06,0.03,N,O,1998-09-02,1998-08-20,1998-09-26,TAKE BACK RETURN,unts! pending
3748,1036,72,1,12.00,11244.36,0.06,0.01,N,O,1998-04-17,1998-04-15,1998-05-12,NONE,y. ideas a
3811,1812,56,5,23.00,39417.63,0.00,0.04,N,O,1998-08-13,1998-07-09,1998-08-29,COLLECT COD,use quickly on the quickly unusual shea
3873,1450,29,2,44.00,59463.80,0.05,0.05,N,O,1998-07-23,1998-05-22,1998-08-14,COLLECT COD,sits-- carefully final pa
3904,1838,68,2,19.00,33056.77,0.09,0.01,N,O,1998-02-10,1998-02-13,1998-02-20,TAKE BACK RETURN,ymptotes-- special ideas wake blithe
3937,1531,72,4,50.00,71626.50,0.01,0.02,N,O,1998-01-15,1998-01-09,1998-02-04,DELIVER IN PERSON,ckly according to the
4192,1207,45,2,15.00,16623.00,0.04,0.08,N,O,1998-06-26,1998-05-26,1998-07-16,COLLECT COD,the regular deposits. blithely unusual p
4192,471,59,5,48.00,65830.56,0.08,0.01,N,O,1998-08-17,1998-07-11,1998-09-03,NONE,use until the re
4192,1699,23,7,27.00,43218.63,0.02,0.00,N,O,1998-07-03,1998-06-26,1998-07-13,TAKE BACK RETURN,t according to the furiously fi
4196,1139,76,4,42.00,43685.46,0.04,0.06,N,O,1998-08-13,1998-07-18,1998-09-07,TAKE BACK RETURN,lphins sleep carefully express foxes.
4229,954,23,1,44.00,81617.80,0.02,0.05,N,O,1998-05-29,1998-05-12,1998-06-16,DELIVER IN PERSON,usly express p
4263,171,72,1,9.00,9640.53,0.08,0.07,N,O,1998-04-04,1998-04-29,1998-05-04,COLLECT COD,l packages cajole fina
4322,1398,99,2,9.00,11694.51,0.05,0.08,N,O,1998-05-18,1998-04-27,1998-05-28,COLLECT COD,arefully final
4322,595,26,6,39.00,58328.01,0.09,0.08,N,O,1998-03-16,1998-05-21,1998-04-11,COLLECT COD,ven accounts nag fu
4386,199,26,7,16.00,17587.04,0.07,0.02,N,O,1998-05-05,1998-03-17,1998-06-03,COLLECT COD,ly even deposits haggl
4448,902,3,5,41.00,73918.90,0.00,0.08,N,O,1998-07-30,1998-08-09,1998-08-03,NONE,usual deposits wake quickly. regular
4486,901,70,4,28.00,50453.20,0.07,0.02,N,O,1998-04-21,1998-04-19,1998-04-26,TAKE BACK RETURN,efully above the blithely ironic depend
4549,881,15,2,1.00,1781.88,0.05,0.08,N,O,1998-05-04,1998-04-11,1998-05-14,TAKE BACK RETURN,osits along the blithely quick
4577,1841,85,1,43.00,74942.12,0.01,0.03,N,O,1998-06-16,1998-07-09,1998-06-17,TAKE BACK RETURN,ronic depo
4613,72,98,4,36.00,34994.52,0.04,0.01,N,O,1998-04-22,1998-05-05,1998-05-04,DELIVER IN PERSON,dependencies haggle blithel
4678,574,5,1,35.00,51609.95,0.04,0.08,N,O,1998-11-27,1998-10-02,1998-12-17,TAKE BACK RETURN,"ests. unusual, special foxes about t"
4678,1778,79,5,40.00,67190.80,0.03,0.07,N,O,1998-11-11,1998-10-27,1998-11-24,TAKE BACK RETURN,furiously dolphins. ideas boost quic
