l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
192,971,40,1,23.0,43055.31,0.0,0.0,N,O,1998-02-05,1998-02-06,1998-03-07,TAKE BACK RETURN,AIR,mold furiously after the ironic instructio,1998
390,850,50,7,24.0,42020.4,0.05,0.02,N,O,1998-04-18,1998-05-19,1998-04-28,TAKE BACK RETURN,AIR, accounts cajole against ,1998
451,1296,71,1,36.0,43102.44,0.02,0.06,N,O,1998-06-18,1998-08-14,1998-06-20,TAKE BACK RETURN,AIR,nic foxes. furiously regular foxes wake b,1998
451,862,63,3,1.0,1762.86,0.07,0.05,N,O,1998-07-13,1998-07-03,1998-08-04,DELIVER IN PERSON,AIR,ly above the slyly regular theodolites. sly,1998
518,1332,9,3,12.0,14799.96,0.01,0.06,N,O,1998-03-08,1998-03-31,1998-04-06,NONE,AIR,refully sly requests: ,1998
519,1059,30,3,19.0,18240.95,0.0,0.02,N,O,1998-01-09,1998-01-03,1998-02-06,COLLECT COD,AIR, about the al,1998
736,1574,75,1,46.0,67876.22,0.05,0.01,N,O,1998-07-16,1998-09-01,1998-08-09,NONE,AIR,"affix. final, ",1998
736,795,96,2,23.0,39003.17,0.02,0.05,N,O,1998-10-08,1998-08-27,1998-10-19,TAKE BACK RETURN,AIR, packages. carefully exp,1998
741,904,73,2,22.0,39707.8,0.09,0.01,N,O,1998-09-07,1998-09-28,1998-09-12,COLLECT COD,AIR,olve carefully furiously bold realms.,1998
770,533,64,2,25.0,35838.25,0.03,0.02,N,O,1998-05-26,1998-07-23,1998-06-04,TAKE BACK RETURN,AIR,r the blithely special deposits. carefu,1998
838,948,83,3,23.0,42525.62,0.1,0.07,N,O,1998-03-26,1998-04-17,1998-04-02,COLLECT COD,AIR,": final, bold requests sleep. regular as",1998
838,432,33,4,18.0,23983.74,0.09,0.0,N,O,1998-03-28,1998-04-06,1998-03-31,TAKE BACK RETURN,AIR,yly across the bold accou,1998
899,601,33,1,18.0,27028.8,0.04,0.05,N,O,1998-08-06,1998-05-09,1998-09-05,DELIVER IN PERSON,AIR,nic requests. blithely special ac,1998
901,453,54,2,2.0,2706.9,0.09,0.02,N,O,1998-10-25,1998-09-27,1998-11-01,DELIVER IN PERSON,AIR,ly express multip,1998
901,427,57,3,37.0,49114.54,0.04,0.08,N,O,1998-11-01,1998-09-13,1998-11-05,NONE,AIR, eat slyly pending th,1998
