l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_comment
68,828,62,5,27.00,46678.14,0.03,0.06,N,O,1998-06-19,1998-06-25,1998-06-29,DELIVER IN PERSON,arefully special excuses. instru
68,1393,32,7,41.00,53069.99,0.09,0.08,N,O,1998-06-24,1998-06-27,1998-07-06,NONE,"ravely busy pinto beans. regular, r"
71,660,54,2,3.00,4681.98,0.09,0.07,N,O,1998-05-23,1998-04-03,1998-06-02,COLLECT COD,o beans. final dependencies mol
71,345,30,3,45.00,56040.30,0.00,0.07,N,O,1998-02-23,1998-03-20,1998-03-24,DELIVER IN PERSON,y ironic packages wake carefully fu
100,1160,97,2,22.00,23345.52,0.00,0.07,N,O,1998-06-24,1998-04-12,1998-06-29,DELIVER IN PERSON,ar accounts boost slyly. brav
100,462,92,3,46.00,62673.16,0.03,0.04,N,O,1998-05-02,1998-04-10,1998-05-22,TAKE BACK RETURN,kly ironic requests
192,1964,97,4,2.00,3731.92,0.06,0.02,N,O,1998-03-06,1998-02-03,1998-03-24,COLLECT COD,fully bold packages x-ray furiously at
198,1020,21,5,33.00,30393.66,0.02,0.01,N,O,1998-03-22,1998-03-12,1998-04-14,DELIVER IN PERSON,lyly express ide
390,1066,2,1,10.00,9670.60,0.02,0.05,N,O,1998-05-26,1998-07-06,1998-06-23,TAKE BACK RETURN,"es breach quickly. regular, even requests"
390,1234,46,2,17.00,19298.91,0.09,0.06,N,O,1998-06-07,1998-06-14,1998-07-07,COLLECT COD,nal pinto beans eat furiously careful
390,1833,20,3,46.00,79802.18,0.07,0.04,N,O,1998-06-06,1998-05-20,1998-06-14,DELIVER IN PERSON,cuses haggle quickly ironic requests
390,1420,21,4,42.00,55499.64,0.01,0.05,N,O,1998-06-06,1998-06-22,1998-07-05,COLLECT COD,counts wake slyly unusual acco
