l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment,l_receipmonth
71,1957,46,6,34.0,63204.3,0.04,0.01,N,O,1998-03-05,1998-04-22,1998-03-30,DELIVER IN PERSON,TRUCK,ns. pendin,1998
100,621,22,1,28.0,42605.36,0.04,0.05,N,O,1998-05-08,1998-05-13,1998-06-07,COLLECT COD,TRUCK,ithely along the ,1998
100,535,26,5,37.0,53114.61,0.05,0.0,N,O,1998-03-06,1998-04-16,1998-03-31,TAKE BACK RETURN,TRUCK, pending depende,1998
192,1103,76,3,15.0,15061.5,0.09,0.01,N,O,1998-01-30,1998-02-10,1998-02-23,TAKE BACK RETURN,TRUCK,ing packages above the quickly ,1998
192,830,97,5,25.0,43270.75,0.02,0.03,N,O,1998-02-15,1998-01-11,1998-03-17,COLLECT COD,TRUCK,osits. unusual excu,1998
198,561,62,1,33.0,48231.48,0.07,0.02,N,O,1998-01-05,1998-03-20,1998-01-10,TAKE BACK RETURN,TRUCK,at the permanen,1998
451,321,78,2,42.0,51295.44,0.05,0.01,N,O,1998-08-01,1998-08-05,1998-08-30,DELIVER IN PERSON,TRUCK,lithely bold dolphins. carefully fin,1998
518,1648,49,1,30.0,46489.2,0.07,0.05,N,O,1998-02-18,1998-03-27,1998-03-16,COLLECT COD,TRUCK,regular deposits nag according ,1998
518,832,32,2,23.0,39855.09,0.05,0.07,N,O,1998-02-20,1998-05-05,1998-03-11,COLLECT COD,TRUCK,luffily express instructions are alon,1998
519,91,42,5,13.0,12884.17,0.06,0.08,N,O,1998-02-06,1997-12-02,1998-03-03,TAKE BACK RETURN,TRUCK,", regular dolphins serve. quickly p",1998
579,591,52,3,6.0,8949.54,0.03,0.0,N,O,1998-04-24,1998-05-03,1998-05-08,TAKE BACK RETURN,TRUCK,ithely ironic requests integrate ,1998
800,719,84,1,38.0,61548.98,0.0,0.05,N,O,1998-07-21,1998-09-25,1998-08-07,TAKE BACK RETURN,TRUCK,lites wake along the furiously ironic hock,1998
